seasonId,playerId,goalieFullName,lastName,teamAbbrev,shootsCatches,gamesPlayed,gamesStarted,starts_pct,toi_total_sec,toi_total_min,toi_pg_sec,toi_pg_min,shotsAgainst,saves,goalsAgainst,shutouts,wins,losses,otLosses,save_pct_calc,gaa_calc,shots_against_pg,saves_pg,goals_against_pg,win_pct,shots_against_per_60,saves_per_60,penaltyMinutes,assists
20252026,8471734,Jonathan Quick,Quick,NYR,L,25,24,0.96,85080,1418.0,3403.2,56.72,671,598,73,2,6,17,2,0.8912071535022354,3.0888575458392102,26.84,23.92,2.92,0.24,28.39210155148096,25.303244005641748,14,1
20252026,8475831,Philipp Grubauer,Grubauer,SEA,L,32,28,0.875,107466,1791.1,3358.3125,55.971875,866,787,79,0,13,12,4,0.9087759815242494,2.6464184020992687,27.0625,24.59375,2.46875,0.40625,29.010105521746414,26.363687119647143,0,2
20252026,8476412,Jordan Binnington,Binnington,STL,L,41,39,0.9512195121951219,138468,2307.8,3377.268292682927,56.28780487804878,1010,882,128,1,13,20,7,0.8732673267326733,3.3278447005806395,24.634146341463413,21.51219512195122,3.1219512195121952,0.3170731707317073,26.25877459051911,22.93092988993847,4,2
20252026,8481519,Spencer Knight,Knight,CHI,L,55,55,1.0,197595,3293.25,3592.6363636363635,59.877272727272725,1583,1428,155,3,19,25,11,0.9020846493998737,2.8239580961056707,28.78181818181818,25.963636363636365,2.8181818181818183,0.34545454545454546,28.840810749259848,26.016852653154178,0,1
20252026,8484268,Nikita Tolopilo,Tolopilo,VAN,L,21,18,0.8571428571428571,68741,1145.6833333333334,3273.3809523809523,54.5563492063492,582,513,69,0,6,11,2,0.8814432989690721,3.6135639574635223,27.714285714285715,24.428571428571427,3.2857142857142856,0.2857142857142857,30.479626423822754,26.86606246635923,2,0
20252026,8480947,Kevin Lankinen,Lankinen,VAN,L,47,43,0.9148936170212766,155541,2592.35,3309.3829787234044,55.15638297872341,1285,1125,160,0,11,27,5,0.8754863813229572,3.7032036569136113,27.340425531914892,23.93617021276596,3.404255319148936,0.23404255319148937,29.74135436958744,26.03815071267383,4,2
20252026,8477968,Alex Nedeljkovic,Nedeljkovic,SJS,L,40,34,0.85,136678,2277.9666666666667,3416.95,56.94916666666666,1049,940,109,0,18,14,4,0.8960915157292659,2.8709814308081767,26.225,23.5,2.725,0.45,27.629903861630986,24.75892243082281,9,1
20252026,8483548,Brandon Bussi,Bussi,CAR,R,39,39,1.0,141649,2360.8166666666666,3632.025641025641,60.53376068376068,912,816,97,2,31,6,2,0.8947368421052632,2.4652486074734026,23.384615384615383,20.923076923076923,2.4871794871794872,0.7948717948717948,23.178419897069517,20.73858622369378,2,1
20252026,8478435,Dan Vladar,Vladar,PHI,L,52,51,0.9807692307692307,179713,2995.2166666666667,3456.019230769231,57.60032051282052,1283,1162,121,0,29,14,7,0.9056897895557288,2.423864717633115,24.673076923076923,22.346153846153847,2.326923076923077,0.5576923076923077,25.70097878283708,23.277114065203964,4,0
20252026,8478971,Connor Ingram,Ingram,EDM,L,32,30,0.9375,106694,1778.2333333333333,3334.1875,55.56979166666667,763,686,77,2,16,10,3,0.8990825688073395,2.598084240913266,23.84375,21.4375,2.40625,0.5,25.744652932685998,23.146568691772732,2,2
20252026,8479394,Carter Hart,Hart,VGK,L,18,18,1.0,61187,1019.7833333333333,3399.277777777778,56.65462962962963,422,376,46,0,11,3,3,0.8909952606635071,2.706457253991861,23.444444444444443,20.88888888888889,2.5555555555555554,0.6111111111111112,24.82880350401229,22.122346250020428,2,0
20252026,8480280,Jeremy Swayman,Swayman,BOS,L,55,54,0.9818181818181818,194117,3235.2833333333333,3529.4,58.82333333333334,1571,1426,146,2,31,18,4,0.9077021005728835,2.707645389120994,28.563636363636363,25.927272727272726,2.6545454545454548,0.5636363636363636,29.13500620759645,26.445906334839297,11,0
20252026,8474593,Jacob Markstrom,Markstrom,NJD,L,44,43,0.9772727272727273,152641,2544.016666666667,3469.1136363636365,57.81856060606061,1113,983,130,1,23,19,1,0.8831985624438454,3.0660176492554423,25.295454545454547,22.34090909090909,2.9545454545454546,0.5227272727272727,26.24982802785621,23.183810378600768,13,4
20252026,8476999,Linus Ullmark,Ullmark,OTT,L,49,49,1.0,173008,2883.4666666666667,3530.7755102040815,58.84625850340136,1198,1067,131,3,28,12,8,0.8906510851419032,2.7258855081845925,24.448979591836736,21.775510204081634,2.673469387755102,0.5714285714285714,24.92832701377971,22.202441505595118,2,1
20252026,8478499,Adin Hill,Hill,VGK,L,27,27,1.0,89869,1497.8166666666666,3328.4814814814813,55.474691358024685,587,511,76,1,10,9,6,0.8705281090289608,3.0444313389489146,21.74074074074074,18.925925925925927,2.814814814814815,0.37037037037037035,23.514226262671222,20.469794923722308,2,1
20252026,8479973,Stuart Skinner,Skinner,"EDM,PIT",L,50,50,1.0,175317,2921.95,3506.34,58.439,1267,1125,142,2,23,17,9,0.8879242304656669,2.9158609832474887,25.34,22.5,2.84,0.46,26.016872294187102,23.10101131093961,0,1
20252026,8481020,Justus Annunen,Annunen,NSH,L,28,23,0.8214285714285714,90032,1500.5333333333333,3215.4285714285716,53.590476190476195,711,645,67,1,10,12,2,0.9071729957805907,2.679047449795628,25.392857142857142,23.035714285714285,2.392857142857143,0.35714285714285715,28.429891594099875,25.79082992713702,2,0
20252026,8477424,Juuse Saros,Saros,NSH,L,59,59,1.0,205953,3432.55,3490.728813559322,58.17881355932204,1700,1519,181,0,28,22,8,0.8935294117647059,3.163828640515069,28.8135593220339,25.74576271186441,3.0677966101694913,0.4745762711864407,29.715517618097333,26.551688977582263,2,0
20252026,8477465,Tristan Jarry,Jarry,"PIT,EDM",L,33,29,0.8787878787878788,106417,1773.6166666666666,3224.757575757576,53.7459595959596,832,734,98,2,18,9,3,0.8822115384615384,3.3152597799223806,25.21212121212121,22.242424242424242,2.9696969696969697,0.5454545454545454,28.145878947912458,24.830619167990076,0,1
20252026,8478470,Samuel Montembeault,Montembeault,MTL,L,25,23,0.92,85092,1418.2,3403.68,56.727999999999994,635,554,81,0,10,8,4,0.8724409448818897,3.4268791425750953,25.4,22.16,3.24,0.4,26.865040191792414,23.438161049217317,0,0
20252026,8478872,Karel Vejmelka,Vejmelka,UTA,R,64,63,0.984375,221565,3692.75,3461.953125,57.69921875,1626,1458,169,2,38,20,3,0.8966789667896679,2.745921061539503,25.40625,22.78125,2.640625,0.59375,26.419335183806105,23.689662175885182,2,2
20252026,8483710,Dennis Hildeby,Hildeby,TOR,L,20,14,0.7,60524,1008.7333333333333,3026.2,50.43666666666666,548,501,48,1,5,7,4,0.9142335766423357,2.8550657590377373,27.4,25.05,2.4,0.25,32.5953340823475,29.79974885995638,0,0
20252026,8477480,Eric Comrie,Comrie,WPG,L,25,24,0.96,82890,1381.5,3315.6,55.26,654,582,72,0,12,11,1,0.8899082568807339,3.1270358306188926,26.16,23.28,2.88,0.48,28.403908794788272,25.27687296416938,0,0
20252026,8482447,Leevi Meriläinen,Meriläinen,OTT,L,20,19,0.95,65669,1094.4833333333333,3283.45,54.72416666666666,457,393,64,0,8,10,1,0.8599562363238512,3.5085047739420427,22.85,19.65,3.2,0.4,25.0529169014299,21.544412127487856,0,0
